player,team,salary
Bruce Brown,DET,838464
Jarred Vanderbilt,DEN,838464
Ray Spalding,DAL,838464
Khyri Thomas,DET,838464
Chimezie Metu,SAS,838464
Alize Johnson,IND,838464
Isaiah Hartenstein,HOU,838464
Ryan Broekhoff,DAL,838464
Brad Wanamaker,BOS,838464
Isaiah Briscoe,ORL,838464
Isaiah Cousins,UTA,838464
Kenrich Williams,NOP,838464
Martell Webster,WAS,833333
Cole Aldrich,MIN,685341
Carlos Delfino,LAC,650000
Caron Butler,SAC,517219
Dakari Johnson,MEM,459414
A.J. Hammons,MIA,350088
Festus Ezeli,POR,333333
C.J. Watson,ORL,333333
Miroslav Raduljica,LAC,252043
Troy Williams,HOU,122741
Demetrius Jackson,BOS,92857
Shaquille Harrison,PHO,50000
Garlon Green,NOP,50000
